Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
大内久美子,69,6,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
上月良祐,56,1,2.0,3.0,2.0,3.0,2.0,2.0,,2.0,3.0,3.0,4.0,,,,,,,,,2.0,3.0,,,3.0,1.0,5.0,5.0,,,1.0,1.0,1.0,1.0,
町田紀光,40,13,2.0,5.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
高橋克法,61,1,2.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0
加藤千穂,43,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,5.0
清水真人,44,1,1.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0
斉藤敦子,51,4,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
前田みか子,47,13,1.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
宍戸千絵,41,5,1.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
伊藤岳,59,6,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
矢倉克夫,44,2,3.0,5.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0
沢田良,39,7,2.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0
鮫島良司,64,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
熊谷裕人,57,4,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0
古川俊治,56,1,2.0,5.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,,,,,2.0,1.0,2.0,2.0,3.0
小島一郎,48,11,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,5.0,1.0,2.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
佐藤恵理子,33,13,2.0,5.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0
石井準一,61,1,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0
長浜博行,60,4,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
豊田俊郎,66,1,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
門田正則,72,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
浅野史子,48,6,5.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
丸川珠代,48,1,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,
塩村文夏,41,4,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
武見敬三,67,1,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0
山口那津男,67,2,4.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0
