ID,NAME,KANA,AGE,PIC,PARTY,PREFEC,DISTRICT,PRBLOCK,Q2_1,Q2_2,Q2_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_11,SQ8_12,SQ8_13,SQ8_14,SQ8_15,SQ8_16
id_00001NM9,佐々木 紀,ささき はじめ,47,P_20210730SNSA0007S,1,17,2,NA,2,4,3,2,2,2,1,2,4,3,2,3,3,4,2,3,2,3,3,3,2,2,4,2,5,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
id_00001D4A,山本 保彦,やまもと やすひこ,68,P_20211019SNSA0008S,12,17,2,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ2UG,倉知 昭一,くらち しょういち,85,P_20211015SNSA0023S,12,17,3,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZADO,西田 昭二,にしだ しょうじ,52,P_20210726SNSA0019S,1,17,3,NA,1,2,3,2,2,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,1,3,3,4,5,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
id_000013DV,近藤 和也,こんどう かずや,47,P_20210727SNSA0018S,2,17,3,NA,7,4,1,3,3,3,2,3,3,2,2,2,3,3,2,4,4,1,2,2,2,2,3,3,3,4,5,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ2UR,野田 富久,のだ とみひさ,74,P_20210728SNSA0011S,2,18,1,NA,2,1,3,5,5,5,1,5,5,4,4,3,1,1,2,3,4,1,2,1,5,4,4,4,2,4,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_000004OK,稲田 朋美,いなだ ともみ,62,P_20211004SNSA0025S,1,18,1,NA,2,3,8,1,2,3,2,1,3,3,2,5,2,3,3,3,2,2,3,1,1,2,3,4,5,4,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
id_ZZZZZ0GX,高木 毅,たかぎ つよし,65,P_20211013SNSA0001S,1,18,2,NA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001536,斉木 武志,さいき たけし,47,P_20211004SNSA0026S,2,18,2,NA,4,7,2,2,3,3,3,4,4,2,2,2,2,2,2,4,3,2,2,2,3,3,4,2,3,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
id_00001MNR,中谷 真一,なかたに しんいち,45,P_20210726SNSA0023S,1,19,1,NA,3,2,7,1,1,3,2,2,4,1,1,4,1,2,2,2,2,3,3,3,2,2,3,4,3,3,5,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
id_00001MNT,中島 克仁,なかじま かつひと,54,P_20210820SNSA0002S,2,19,1,NA,2,3,1,3,3,3,1,4,3,3,2,3,2,2,3,3,3,1,2,1,4,3,5,3,3,4,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00002L3O,辺見 信介,へんみ のぶゆき,57,P_20210903SNSA0012S,9,19,1,NA,1,3,4,2,2,1,1,5,5,2,1,1,1,1,5,5,5,1,1,1,3,3,5,1,4,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
id_00001HFI,市来 伴子,いちき ともこ,44,P_20210726SNSA0022S,2,19,2,NA,2,4,3,4,5,5,1,5,5,1,1,2,1,2,3,5,5,1,1,1,3,4,5,3,2,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001DFZ,大久保 令子,おおくぼ れいこ,71,P_20210909SNSA0005S,4,19,2,NA,2,1,4,5,5,5,1,5,5,1,3,1,1,1,3,5,5,1,1,1,5,4,5,1,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001NY0,堀内 詔子,ほりうち のりこ,56,P_20210726SNSA0021S,1,19,2,NA,2,3,4,2,3,3,1,2,3,3,2,5,3,4,2,3,1,3,3,3,2,3,3,2,4,3,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
id_ZZZZZ0H8,篠原 孝,しのはら たかし,73,P_20210728SNSA0003S,2,20,1,NA,2,3,1,4,5,5,1,5,5,5,3,1,1,1,5,3,5,2,5,2,3,4,3,1,1,5,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001CBE,若林 健太,わかばやし けんた,57,P_20210728SNSA0004S,1,20,1,NA,2,4,3,1,2,2,1,2,5,1,2,4,2,4,2,2,2,1,2,2,1,2,4,4,4,2,5,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
id_00001TJA,手塚 大輔,てづか だいすけ,38,P_20210929SNSA0008S,5,20,2,NA,2,3,4,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
id_ZZZZZ0H9,下条 みつ,しもじょう みつ,65,P_20210929SNSA0007S,2,20,2,NA,1,3,2,3,5,4,1,5,4,1,1,1,1,2,2,4,4,1,1,1,5,3,5,2,2,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_000015UQ,務台 俊介,むたい しゅんすけ,65,P_20210915SNSA0013S,1,20,2,NA,2,3,4,1,3,2,3,2,4,1,1,4,1,1,3,2,2,2,4,3,2,1,3,2,3,2,4,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1
id_00002KWK,神津 健,こうづ たけし,44,P_20210903SNSA0006S,2,20,3,NA,2,3,4,3,5,5,1,5,5,1,1,1,1,3,3,4,5,1,1,1,3,5,5,1,2,2,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001CIW,井出 庸生,いで ようせい,43,P_20210927SNSA0012S,1,20,3,NA,2,3,4,2,3,3,1,2,4,2,2,3,2,2,2,3,2,1,3,1,2,2,4,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_00002LG0,池 高生,いけ たかお,53,P_20211008SNSA0025S,9,20,3,NA,3,4,6,1,1,3,5,1,3,5,1,1,5,5,1,1,1,1,1,5,1,3,1,1,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
id_0000273I,長瀬 由希子,ながせ ゆきこ,53,P_20210906SNSA0006S,4,20,4,NA,1,2,4,5,5,5,1,5,5,3,3,1,1,1,3,5,5,1,1,1,5,5,5,1,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ0HF,後藤 茂之,ごとう しげゆき,65,P_20210904SNSA0003S,1,20,4,NA,2,3,4,3,3,2,2,2,3,2,3,4,3,3,3,4,2,3,3,3,2,2,3,2,3,3,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
id_ZZZZZ0HL,宮下 一郎,みやした いちろう,63,P_20210908SNSA0003S,1,20,5,NA,2,3,1,2,3,3,1,1,5,2,2,4,2,2,2,4,2,3,3,3,2,3,3,3,5,3,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
id_000002JU,曽我 逸郎,そが いつろう,65,P_20210908SNSA0004S,2,20,5,NA,2,4,1,5,5,5,1,5,5,1,1,1,1,1,1,5,5,1,1,1,5,4,5,2,1,1,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00002DT6,土田 正光,つちだ まさみつ,77,P_20210909SNSA0010S,11,21,1,NA,3,6,1,3,2,3,2,2,2,2,4,3,2,3,3,3,3,4,5,4,3,3,2,2,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
id_00002L76,川本 慧佑,かわもと けいすけ,30,P_20210910SNSA0007S,2,21,1,NA,3,1,7,2,3,4,1,5,5,1,1,1,1,1,3,5,3,1,1,1,1,1,4,2,3,2,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ0HO,野田 聖子,のだ せいこ,61,P_20210715SNSA0006S,1,21,1,NA,3,2,7,2,99,1,1,2,4,2,2,4,3,3,3,3,2,1,2,2,1,3,3,3,3,2,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
id_00001W3P,山越 徹,やまこし とおる,51,P_20210916SNSA0009S,4,21,1,NA,2,1,4,5,5,5,1,5,5,1,1,1,1,1,2,5,5,1,1,1,5,3,5,1,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00002L8R,三尾 圭司,みお けいじ,45,P_20210915SNSA0031S,4,21,2,NA,2,1,4,5,5,5,1,5,5,3,3,1,1,1,3,5,5,1,1,1,5,5,5,1,1,3,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00002IQ7,大谷 由里子,おおたに ゆりこ,58,P_20211012SNSA0015S,6,21,2,NA,3,1,7,2,4,2,3,3,2,2,2,1,4,4,4,3,3,2,3,2,4,4,2,2,3,3,3,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
id_ZZZZZ0HR,棚橋 泰文,たなはし やすふみ,58,P_20211011SNSA0019S,1,21,2,NA,3,2,1,1,2,1,3,1,4,2,1,5,2,2,3,2,2,2,3,3,1,2,2,3,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
id_ZZZZZ0FB,阪口 直人,さかぐち なおと,58,P_20201012SNSA0001S,2,21,3,NA,2,4,5,1,3,2,1,5,5,3,1,1,1,1,3,4,4,1,1,1,2,3,3,3,2,3,3,2,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
id_000004JL,武藤 容治,むとう ようじ,66,P_20210716SNSA0011S,1,21,3,NA,2,4,8,1,1,3,4,1,3,2,1,4,1,3,2,2,2,3,4,3,2,1,3,3,5,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
id_00002735,金子 俊平,かねこ しゅんぺい,43,P_20210715SNSA0008S,1,21,4,NA,3,4,8,1,3,1,1,1,4,1,2,3,3,3,2,3,2,2,3,2,2,3,3,2,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
id_000016Y4,今井 雅人,いまい まさと,59,P_20210922SNSA0012S,2,21,4,NA,3,2,1,3,3,4,2,3,4,2,2,1,1,2,3,3,4,2,2,2,3,2,4,2,4,4,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_0000127G,佐伯 哲也,さえき てつや,51,P_20211013SNSA0030S,5,21,4,NA,2,3,4,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
